Référence du modèle;Taille; Code EAN ;Désignation;Collection;Segment;Quantités BL;Date Expe 
B75806;4113; 4 059 809 047 149 ;SAMBA OG;   Q325;CHAUSSURES;310;19/03/2025
B75806;4113; 4 059 809 047 149 ;SAMBA OG;   Q325;CHAUSSURES;300;21/03/2025
B75806;4113; 4 059 809 047 149 ;SAMBA OG;   Q325;CHAUSSURES;70;24/03/2025
B75806;4223; 4 059 809 047 170 ;SAMBA OG;   Q325;CHAUSSURES;6;03/01/2025
B75806;4223; 4 059 809 047 170 ;SAMBA OG;   Q325;CHAUSSURES;40;31/01/2025
B75806;4223; 4 059 809 047 170 ;SAMBA OG;   Q325;CHAUSSURES;40;10/03/2025
B75806;4223; 4 059 809 047 170 ;SAMBA OG;   Q325;CHAUSSURES;300;13/03/2025
B75806;4223; 4 059 809 047 170 ;SAMBA OG;   Q325;CHAUSSURES;390;19/03/2025
B75806;4223; 4 059 809 047 170 ;SAMBA OG;   Q325;CHAUSSURES;150;21/03/2025
B75806;4223; 4 059 809 047 170 ;SAMBA OG;   Q325;CHAUSSURES;60;24/03/2025
B75806;4313; 4 059 809 046 173 ;SAMBA OG;   Q325;CHAUSSURES;6;03/01/2025
B75806;4313; 4 059 809 046 173 ;SAMBA OG;   Q325;CHAUSSURES;20;31/01/2025
B75806;4313; 4 059 809 046 173 ;SAMBA OG;   Q325;CHAUSSURES;30;10/03/2025
B75806;4313; 4 059 809 046 173 ;SAMBA OG;   Q325;CHAUSSURES;210;13/03/2025
B75806;4313; 4 059 809 046 173 ;SAMBA OG;   Q325;CHAUSSURES;280;19/03/2025
B75806;4313; 4 059 809 046 173 ;SAMBA OG;   Q325;CHAUSSURES;50;21/03/2025
B75806;4313; 4 059 809 046 173 ;SAMBA OG;   Q325;CHAUSSURES;60;24/03/2025
B75806;4423; 4 059 809 047 132 ;SAMBA OG;   Q325;CHAUSSURES;6;03/01/2025
B75806;4423; 4 059 809 047 132 ;SAMBA OG;   Q325;CHAUSSURES;50;13/03/2025
B75806;4423; 4 059 809 047 132 ;SAMBA OG;   Q325;CHAUSSURES;60;19/03/2025
B75806;4513; 4 059 809 047 095 ;SAMBA OG;   Q325;CHAUSSURES;3;03/01/2025
B75806;4513; 4 059 809 047 095 ;SAMBA OG;   Q325;CHAUSSURES;30;13/03/2025
B75806;4513; 4 059 809 047 095 ;SAMBA OG;   Q325;CHAUSSURES;30;19/03/2025
B75806;35-; 4 062 061 443 031 ;SAMBA OG;   Q325;CHAUSSURES;200;21/03/2025
B75807;36; 4 059 811 988 508 ;SAMBA OG;   Q325;CHAUSSURES;10;24/02/2025
B75807;36; 4 059 811 988 508 ;SAMBA OG;   Q325;CHAUSSURES;70;13/03/2025
B75807;38; 4 059 811 988 591 ;SAMBA OG;   Q325;CHAUSSURES;20;24/02/2025
B75807;38; 4 059 811 988 591 ;SAMBA OG;   Q325;CHAUSSURES;450;13/03/2025
B75807;40; 4 059 811 988 492 ;SAMBA OG;   Q325;CHAUSSURES;20;24/02/2025
B75807;40; 4 059 811 988 492 ;SAMBA OG;   Q325;CHAUSSURES;190;13/03/2025
B75807;42; 4 059 811 988 607 ;SAMBA OG;   Q325;CHAUSSURES;8;03/01/2025
B75807;42; 4 059 811 988 607 ;SAMBA OG;   Q325;CHAUSSURES;50;31/01/2025
B75807;42; 4 059 811 988 607 ;SAMBA OG;   Q325;CHAUSSURES;40;24/02/2025
B75807;42; 4 059 811 988 607 ;SAMBA OG;   Q325;CHAUSSURES;180;13/03/2025
B75807;44; 4 059 811 985 736 ;SAMBA OG;   Q325;CHAUSSURES;8;03/01/2025
B75807;44; 4 059 811 985 736 ;SAMBA OG;   Q325;CHAUSSURES;20;31/01/2025
B75807;44; 4 059 811 985 736 ;SAMBA OG;   Q325;CHAUSSURES;10;24/02/2025
B75807;44; 4 059 811 985 736 ;SAMBA OG;   Q325;CHAUSSURES;90;13/03/2025
B75807;3623; 4 059 811 988 553 ;SAMBA OG;   Q325;CHAUSSURES;20;24/02/2025
B75807;3623; 4 059 811 988 553 ;SAMBA OG;   Q325;CHAUSSURES;110;13/03/2025
B75807;3713; 4 059 811 988 621 ;SAMBA OG;   Q325;CHAUSSURES;20;24/02/2025
B75807;3713; 4 059 811 988 621 ;SAMBA OG;   Q325;CHAUSSURES;320;13/03/2025
B75807;3823; 4 059 811 988 546 ;SAMBA OG;   Q325;CHAUSSURES;20;24/02/2025
B75807;3823; 4 059 811 988 546 ;SAMBA OG;   Q325;CHAUSSURES;450;13/03/2025
B75807;3913; 4 059 811 988 515 ;SAMBA OG;   Q325;CHAUSSURES;20;24/02/2025
B75807;3913; 4 059 811 988 515 ;SAMBA OG;   Q325;CHAUSSURES;270;13/03/2025
B75807;4023; 4 059 811 988 454 ;SAMBA OG;   Q325;CHAUSSURES;20;31/01/2025
B75807;4023; 4 059 811 988 454 ;SAMBA OG;   Q325;CHAUSSURES;20;24/02/2025
B75807;4023; 4 059 811 988 454 ;SAMBA OG;   Q325;CHAUSSURES;70;13/03/2025
B75807;4113; 4 059 811 988 584 ;SAMBA OG;   Q325;CHAUSSURES;4;03/01/2025
B75807;4113; 4 059 811 988 584 ;SAMBA OG;   Q325;CHAUSSURES;30;31/01/2025
B75807;4113; 4 059 811 988 584 ;SAMBA OG;   Q325;CHAUSSURES;30;24/02/2025
B75807;4113; 4 059 811 988 584 ;SAMBA OG;   Q325;CHAUSSURES;130;13/03/2025
B75807;4223; 4 059 811 988 560 ;SAMBA OG;   Q325;CHAUSSURES;8;03/01/2025
B75807;4223; 4 059 811 988 560 ;SAMBA OG;   Q325;CHAUSSURES;50;31/01/2025
B75807;4223; 4 059 811 988 560 ;SAMBA OG;   Q325;CHAUSSURES;40;24/02/2025
B75807;4223; 4 059 811 988 560 ;SAMBA OG;   Q325;CHAUSSURES;180;13/03/2025
B75807;4313; 4 059 811 988 485 ;SAMBA OG;   Q325;CHAUSSURES;8;03/01/2025
