Référence du modèle;Désignation;Segment;Sous famille;PVP;P.Vente ;Dispatch Mag ;CITY SPORT;GO SPORT;COURIR;DESTOCK
F35579;ADISSAGE;ACCESSOIRES;SPORTSWEAR FTW SLIDES ALL;30;C;A;X;;;
FM0643;MID ANKLE SCK;ACCESSOIRES;ORIGINALS ACC HW ALL;14;A;A;X;;X;
FM0676;LOW CUT SOCK 3P;ACCESSOIRES;ORIGINALS ACC HW ALL;15;A;A;X;;X;X
FM0677;LOW CUT SOCK 3P;ACCESSOIRES;ORIGINALS ACC HW ALL;15;B;A;X;;X;
FM9931;PERF BOTTL 0,75;ACCESSOIRES;TRAINING ACC HW ALL;8;B;A;X;X;;
FM9932;PERF BOTTL 0,75;ACCESSOIRES;TRAINING ACC HW ALL;8;A;A;X;X;;
FM9935;PERF BTTL 0,5;ACCESSOIRES;TRAINING ACC HW ALL;7;C;A;X;X;;
FM9936;PERF BTTL 0,5;ACCESSOIRES;TRAINING ACC HW ALL;7;C;A;X;X;;
FQ4641;BUCKET HAT AC;ACCESSOIRES;ORIGINALS ACC HW ALL;28;A;A;X;;;
FQ5411;BBALL 3S CAP CT;ACCESSOIRES;TRAINING ACC HW ALL;20;B;A;X;X;;
FT8524;TREFOIL LINER;ACCESSOIRES;ORIGINALS ACC HW ALL;14;B;A;X;;;
FT8529;MID ANKLE SCK;ACCESSOIRES;ORIGINALS ACC HW ALL;14;A;A;X;;X;
FU7592;ADILETTE LITE;CHAUSSURES;ORIGINALS FTW MEN;33;C;A;X;;;
FU7714;SUPERSTAR C;CHAUSSURES;ORIGINALS FTW KIDS;70;A;A;X;;X;
FU7715;SUPERSTAR C;CHAUSSURES;ORIGINALS FTW KIDS;70;C;A;X;;X;
FU8297;ADILETTE LITE;CHAUSSURES;ORIGINALS FTW MEN;33;B;A;X;;;X
F35580;ADISSAGE;CHAUSSURES;SPORTSWEAR FTW SLIDES ALL;30;B;A;X;X;;X
FU8299;ADILETTE LITE;CHAUSSURES;ORIGINALS FTW MEN;33;B;A;X;;X;X
FV3139;SUPERSTAR J;CHAUSSURES;ORIGINALS FTW KIDS;75;A;A;X;;;X
FV3657;SUPERSTAR CF I;CHAUSSURES;ORIGINALS FTW KIDS;60;B;A;X;;X;
FV4225;RIVALRY LOW W;CHAUSSURES;ORIGINALS BASKETBALL FTW WOMEN;100;C;A;X;;X;
FV5321;NIZZA PLATFORM W;CHAUSSURES;ORIGINALS FTW WOMEN;75;A;A;X;;X;
FV5322;NIZZA PLATFORM W;CHAUSSURES;ORIGINALS FTW WOMEN;75;A;A;X;;X;
FV6863;TERREX TRAILMAKER GTX;CHAUSSURES;OUTDOOR FTW MEN;150;C;A;;X;;
FV7911;Deportivo FXG;CHAUSSURES;ADIDAS FOOTBALL FTW MEN;40;C;A;;X;;
FV7914;Deportivo TF;CHAUSSURES;ADIDAS FOOTBALL FTW MEN;40;A;A;;X;;
FX3581;CORERACER;CHAUSSURES;SPORTSWEAR FTW MEN;55;A;A;X;X;;
